date,avg(avg(sog)),slow_count,fast_count
2016/05/23,5.572216253134184,246,373
2015/01/30,7.378603963393301,108,459
2015/10/04,6.993971056646727,183,469
2016/04/24,6.554132019163555,189,451
2014/12/13,7.21910904880592,123,417
2015/09/22,7.359490630584584,158,471
2016/07/03,6.516035150117924,173,468
2016/02/12,6.4678209577768255,165,456
2016/04/06,6.721967079511551,180,487
2014/10/17,6.8133683594217835,138,410
2015/02/19,7.290845988432283,128,428
2015/02/21,7.0740566032063885,124,408
2014/10/27,6.984754096426829,138,441
2014/10/31,7.077563750374379,139,439
2015/04/15,7.612533617083931,143,465
2015/09/30,7.023132142209709,144,434
2015/02/13,7.11526848296427,132,418
2015/04/03,7.516829678688077,126,469
2016/08/06,6.731713726660505,173,487
2016/03/16,6.398681339708365,179,458
2016/04/21,6.8116889965090195,185,479
2016/08/02,5.310857687152427,276,278
2015/10/05,7.171230245638854,165,473
2016/03/24,6.690766515503465,178,462
2015/01/24,6.951205157239271,139,411
2016/03/25,6.6760376077502,168,461
2016/04/16,6.723629088441484,177,490
2016/07/31,6.562704176996252,194,481
2014/10/15,6.788563066441801,147,413
2015/04/09,6.402287366108519,192,340
2015/09/05,7.598728864095592,146,445
2015/09/27,6.698888005210876,185,392
2016/03/15,6.572819528928558,189,468
2014/10/25,6.939326835626167,143,425
2015/09/09,7.4206196973348275,154,459
2014/12/24,7.278605345256526,134,421
2016/06/08,5.750153951881384,261,416
2016/07/29,6.721544382747219,172,486
2016/05/05,6.839076090546431,170,491
2014/10/19,6.76426997979496,152,406
2016/04/03,6.693191710933695,172,489
2016/04/23,6.746698995264003,182,466
2016/07/27,6.763423124248012,181,501
2015/10/02,7.421441022506586,144,480
2016/02/29,6.598590534900513,183,451
2016/05/01,6.385270348704647,198,447
2016/05/24,6.330316421177191,207,462
2015/01/23,7.266603066768282,134,435
2015/02/12,7.572721381798709,141,448
2016/07/19,6.469915660314766,200,479
2016/08/03,5.927673623074098,218,398
2016/03/09,6.509448118525669,169,450
2015/04/06,7.247212422947066,138,421
2015/09/08,7.6777818919475465,165,466
2016/05/04,6.557635394390878,165,473
2015/01/14,7.167762453859924,134,441
2015/04/14,7.523771407423804,137,480
2015/09/06,7.267074499276304,171,459
2015/03/04,7.318370207328835,111,434
2015/06/23,7.328242062101996,149,465
2016/03/31,6.03277114952424,198,368
2014/10/09,7.092643152720041,128,423
2016/08/13,6.603826131830527,174,467
2016/04/04,6.646263717088803,181,481
2016/07/11,6.362759861863006,201,460
2016/02/21,6.476154097826269,156,429
2016/04/18,6.34050604847932,188,463
2015/09/21,7.497476494630862,153,469
2016/08/15,6.261818126650539,209,450
2015/06/27,7.83415173515441,131,504
2015/11/19,7.102336071090817,151,449
2016/04/17,6.320894157834901,200,438
2016/08/05,6.782602073625352,178,491
2015/06/24,7.6906061479674435,143,493
2015/10/13,7.253197810437725,159,446
2015/10/09,7.545541654208914,149,456
2016/03/03,6.806441071806501,156,452
2016/07/07,6.969718229404757,174,504
2014/12/12,6.826239007627512,131,412
2015/02/10,6.933564931723242,138,437
2015/09/14,7.020691596792396,156,454
2015/10/12,7.188789522939791,173,461
2016/03/29,5.916201180760404,198,376
2016/08/17,6.3868216555476245,213,464
2014/12/28,7.147137404569823,126,389
2016/02/08,6.3444748550438375,168,426
2014/10/22,7.158126713917562,122,457
2014/10/30,6.975430626395624,140,414
2016/02/16,6.64802465155586,163,447
2015/02/17,6.929079018906228,145,400
2015/09/18,7.418025766222375,143,482
2016/05/27,6.786535634618658,181,510
2016/06/29,6.911278716878345,170,506
2016/07/09,7.034115234123044,184,510
2016/07/22,6.567098999485113,193,487
2015/04/12,7.343546772433887,145,456
2016/04/15,6.628421441625966,187,486
2016/08/18,4.520456644162494,305,224
2015/06/25,7.801263261091032,137,505
2016/06/04,6.773618538957839,209,511
2016/02/05,6.931540815280631,138,466
2016/06/01,6.441250373838911,199,512
2014/10/13,6.750929303583097,151,406
2014/10/24,7.143704169934394,122,455
2014/10/12,7.023635961331576,153,395
2015/02/06,6.237969613305328,190,294
2016/03/02,6.502099788609413,157,465
2016/07/12,6.382569795191555,189,483
2015/01/08,7.178717281245765,133,403
2016/04/30,6.582409701266656,181,472
2016/05/25,6.8626088015641615,178,495
2014/10/10,7.315445717529369,118,440
2016/02/11,6.547176321798485,152,445
2016/07/06,6.6726422391452385,176,496
2015/01/13,6.88579723744998,140,416
2015/11/17,7.274912197561253,137,452
2015/06/30,8.097921565938309,150,505
2015/01/17,7.183406842824793,119,432
2015/02/09,7.157059710243229,130,438
2015/07/01,7.837899079959842,151,522
2016/05/03,6.591388195108981,171,473
2015/04/08,7.161326441548204,126,451
2015/03/03,7.22031831320906,123,436
2015/06/18,7.969296832237828,133,464
2015/06/20,7.528371565180533,141,475
2015/09/13,6.864111774353131,159,436
2015/11/22,6.846462218907167,147,415
2016/03/14,5.5097888864952465,233,328
2016/05/06,6.2315803017405225,199,428
2014/11/02,7.039738626947717,148,395
2016/02/09,6.676622339814119,147,445
2016/08/01,6.292349939620932,217,484
2015/01/12,7.094398389110892,131,416
2015/02/02,7.0753068359597595,130,423
2015/11/21,6.9491836878288415,147,446
2014/11/10,7.063234190535347,141,368
2015/11/18,6.768579811801463,162,429
2016/03/08,7.17535699612993,154,471
2016/08/14,6.7081852080959115,172,470
2015/09/10,7.566775419772801,163,491
2016/06/03,6.807795351741687,181,524
2016/02/23,6.536632740631448,173,457
2016/04/11,6.600616857647936,174,463
2016/05/30,6.246106230403646,225,495
2014/10/23,7.220160777580706,135,436
2015/02/22,7.2448157786527885,128,404
2015/04/04,7.704894257207735,128,471
