,date,avg(avg(sog)),slow_count,fast_count
166,2016/07/10,6.717121674462653,197,482
298,2016/07/11,6.362759861863006,201,460
341,2016/07/12,6.382569795191555,189,483
35,2016/07/13,6.454752622760871,185,471
148,2016/07/14,6.637692106964822,183,482
102,2016/07/15,5.283680968268236,277,295
171,2016/07/18,5.5655785644543245,262,364
283,2016/07/19,6.469915660314766,200,479
128,2016/07/20,6.673273144674995,200,484
36,2016/07/21,6.522203040137455,201,497
328,2016/07/22,6.567098999485112,193,487
42,2016/07/23,6.7766349483968495,185,495
80,2016/07/24,6.701417999476035,186,503
77,2016/07/25,6.43266799508734,208,481
123,2016/07/26,6.658806335825419,198,493
276,2016/07/27,6.763423124248012,181,501
70,2016/07/28,6.757162144707032,187,490
271,2016/07/29,6.7215443827472185,172,486
57,2016/07/30,6.838118177403537,175,492
261,2016/07/31,6.562704176996252,194,481
365,2016/08/01,6.292349939620932,217,484
255,2016/08/02,5.310857687152427,276,278
284,2016/08/03,5.927673623074098,218,398
156,2016/08/04,6.257772838012637,198,488
306,2016/08/05,6.782602073625353,178,491
252,2016/08/06,6.731713726660504,173,487
92,2016/08/07,6.265797952860937,196,457
53,2016/08/08,6.205766487882456,197,464
103,2016/08/09,5.971048275812943,201,448
184,2016/08/10,6.190129834048804,173,455
73,2016/08/11,6.668409694747287,160,465
139,2016/08/12,6.864136640537608,174,474
296,2016/08/13,6.603826131830528,174,467
372,2016/08/14,6.708185208095912,172,470
302,2016/08/15,6.26181812665054,209,450
153,2016/08/16,6.450541673343412,203,463
317,2016/08/17,6.3868216555476245,213,464
331,2016/08/18,4.520456644162494,305,224
